category,main_category,state,backers,country,usd_pledged_real,usd_goal_real,project_time
Webseries,Film & Video,failed,0,US,0,10000,29
Narrative Film,Film & Video,failed,30,US,2141.1,20000,69
Design,Design,failed,7,ES,119.19,13834.64,29
Fashion,Fashion,failed,3,US,160,5000,29
Tabletop Games,Games,failed,28,US,2175,20000,29
Accessories,Fashion,failed,7,US,250,3500,44
Wearables,Technology,canceled,1,US,100,43000,29
Nonfiction,Publishing,failed,0,US,0,2500,23
Shorts,Film & Video,failed,8,US,355,6500,44
Horror,Film & Video,successful,17,US,1560,808,16
Documentary,Film & Video,successful,25,US,2551,2500,19
Food Trucks,Food,canceled,3,US,90,15000,59
Thrillers,Film & Video,failed,0,US,0,1500,44
Food,Food,failed,0,NL,0,1670.25,15
Children's Books,Publishing,failed,16,US,455,5000,29
Drinks,Food,successful,204,US,18961,15000,29
Public Art,Art,failed,13,US,590,5000,12
Comics,Comics,successful,45,US,3166,2750,29
Apparel,Fashion,failed,3,US,102,4500,20
Periodicals,Publishing,successful,310,US,24016,20000,29
Documentary,Film & Video,failed,15,AU,866.94,8846.3,40
Immersive,Theater,successful,54,GB,2489.65,2300.97,38
Rock,Music,failed,5,US,165,3500,31
Video Games,Games,successful,283,CA,7651.15,7328.69,39
Interactive Design,Design,canceled,38,DE,3818.42,32823.12,34
Fiction,Publishing,failed,1,US,5,50000,44
Tabletop Games,Games,failed,49,NL,12922.59,50408.87,44
Apparel,Fashion,failed,1,US,10,2000,29
Video Games,Games,failed,115,US,5900,12000,59
Video Games,Games,failed,13,US,300,2000,29
Fiction,Publishing,failed,1,US,5,2000,59
Restaurants,Food,failed,1,US,51,100000,59
Sculpture,Art,failed,2,US,50,5000,29
Graphic Design,Design,failed,34,DE,1512.7,21609.94,29
Country & Folk,Music,failed,17,US,562,2800,29
Playing Cards,Games,failed,8,US,198,5000,29
Documentary,Film & Video,failed,1,US,200,3500,15
Apparel,Fashion,failed,1,US,20,5000,4
Shorts,Film & Video,successful,85,CA,3974.83,2260.57,22
Apps,Technology,failed,4,GB,114.45,32238.83,59
Photography,Photography,failed,20,GB,699.69,7688.88,59
R&B,Music,failed,9,US,304,2500,29
Apps,Technology,failed,0,US,0,5000,29
Art,Art,failed,28,US,1715,6500,29
Documentary,Film & Video,failed,4,US,150,50000,29
Childrenswear,Fashion,failed,3,FR,29.41,11764.98,29
Knitting,Crafts,successful,60,US,1346,250,37
Art,Art,canceled,1,GB,23.53,784.29,21
Theater,Theater,failed,1,US,50,40000,89
Drama,Film & Video,canceled,0,GB,0,6852.04,31
Hardware,Technology,successful,46,GB,3306.09,3223.88,19
Graphic Novels,Comics,successful,192,US,7400,7000,21
Tabletop Games,Games,successful,327,FR,9579.76,5707.5,20
Crafts,Crafts,successful,23,US,1341,1000,29
Music,Music,failed,5,US,145,10000,29
Gadgets,Technology,successful,115,US,7099,5000,44
Comedy,Film & Video,failed,11,US,361,25000,29
Design,Design,failed,5,US,242,10000,34
Robots,Technology,failed,0,US,0,45650,50
Apps,Technology,failed,1,NL,56.34,67607.92,29
Footwear,Fashion,successful,479,US,46886,5000,30
Narrative Film,Film & Video,successful,136,US,50400,50000,29
Tabletop Games,Games,successful,86,US,2442,1000,6
Jewelry,Fashion,failed,6,US,382,5000,59
Live Games,Games,failed,4,NZ,356.23,5257.97,29
Documentary,Film & Video,successful,110,US,12850,9999,59
Vegan,Food,successful,131,US,6338,6000,24
Rock,Music,failed,0,US,0,1500,86
Product Design,Design,canceled,67,GB,2271.86,13587.69,29
Rock,Music,canceled,7,US,375,5000,31
Music,Music,canceled,0,US,0,50000,29
Academic,Publishing,failed,0,US,0,50000,29
Product Design,Design,failed,9,US,533,7500,29
Film & Video,Film & Video,successful,334,US,16029,15000,29
Shorts,Film & Video,successful,17,US,3030,3000,13
Nonfiction,Publishing,failed,8,US,462,12000,44
Product Design,Design,failed,7,CH,1105.71,20418.39,26
Shorts,Film & Video,failed,3,GB,344.4,2661.28,29
Footwear,Fashion,failed,2,GB,189.48,48018.9,33
Product Design,Design,successful,852,SG,57260.14,10652.65,44
Fashion,Fashion,failed,6,US,162,2500,53
Documentary,Film & Video,failed,1,US,1.63,5250,29
Music,Music,successful,30,US,755,500,29
Food,Food,canceled,0,US,0,1500,29
Painting,Art,failed,0,US,0,1000,29
Music,Music,successful,85,US,10300.5,5000,35
Music,Music,successful,56,US,10606.5,10000,29
Music,Music,failed,0,US,0,15000,44
Art,Art,failed,1,US,55,300,39
Product Design,Design,failed,143,US,9756,50000,34
Children's Books,Publishing,canceled,3,US,800,35000,33
Design,Design,failed,45,GB,1246.75,47047.02,57
Film & Video,Film & Video,failed,7,GB,387.49,824.46,29
Camera Equipment,Technology,canceled,15,US,5407,280000,36
Product Design,Design,failed,67,US,1704,10000,20
Art,Art,successful,42,US,2945,1000,19
Documentary,Film & Video,failed,10,US,400,10000,90
DIY,Crafts,failed,2,CA,47.8,4596.43,29
Playing Cards,Games,failed,2,CA,96,4800,6
Fashion,Fashion,canceled,0,CA,0,3218.09,29
Design,Design,successful,38,US,2626,2500,9
Wearables,Technology,failed,40,US,8422,50000,29
Apparel,Fashion,failed,0,SE,0,4700.85,27
Technology,Technology,failed,1,IT,64.13,26719.96,59
Thrillers,Film & Video,suspended,0,GB,0,8.03,29
Accessories,Fashion,successful,790,GB,38795.57,316.04,29
Apparel,Fashion,canceled,41,US,13263,30000,44
Electronic Music,Music,failed,3,US,39,1800,24
Technology,Technology,failed,11,US,501,60000,44
Narrative Film,Film & Video,successful,117,US,10416,10000,51
Farms,Food,live,5,US,155,7000,39
Software,Technology,failed,1,US,28,200000,14
Film & Video,Film & Video,canceled,0,US,0,750,29
Technology,Technology,failed,143,US,13543,20000,44
Print,Journalism,canceled,0,US,0,500000,59
Footwear,Fashion,failed,7,GB,178,27175.39,34
Comics,Comics,failed,10,CA,546.38,8035,29
Product Design,Design,successful,895,US,139412,85000,34
Music,Music,undefined,0,undefined,6297,6000,29
Public Art,Art,successful,83,US,3886,3500,35
Periodicals,Publishing,failed,6,US,190,8500,59
Design,Design,canceled,7,US,873,5000,29
Film & Video,Film & Video,failed,0,US,0,500,29
Design,Design,failed,12,US,1636,50000,44
Product Design,Design,failed,8,US,225,900,29
Shorts,Film & Video,successful,60,GB,1596.13,1531.79,29
Live Games,Games,canceled,2,US,6,1500,29
Narrative Film,Film & Video,failed,62,US,15680,50001,29
Nonfiction,Publishing,failed,9,GB,109.61,322.39,39
Product Design,Design,successful,27,IT,1010.82,797.18,29
Publishing,Publishing,undefined,0,undefined,0,7500,21
Fiction,Publishing,successful,19,US,2076,2000,29
Public Art,Art,failed,1,US,10,85000,29
Public Art,Art,failed,1,US,25,40000,59
Graphic Design,Design,successful,2,US,2,2,21
Radio & Podcasts,Publishing,failed,0,IE,0,311.25,29
Shorts,Film & Video,failed,1,US,25,12750,29
Country & Folk,Music,successful,147,US,10528,7500,29
Photography,Photography,failed,2,GB,266.13,66532.49,29
Design,Design,canceled,17,US,3105,100000,29
Music,Music,successful,181,US,8832.33,8500,29
Theater,Theater,successful,22,US,1085,1000,30
Documentary,Film & Video,failed,3,US,180,36000,88
Narrative Film,Film & Video,failed,8,US,450,55000,31
Shorts,Film & Video,failed,17,US,446,7000,29
Photography,Photography,successful,35,US,3050,3000,29
Theater,Theater,successful,35,US,1670,1500,19
Children's Books,Publishing,failed,0,GB,0,1464.75,29
Food Trucks,Food,failed,0,GB,0,18111.92,29
Documentary,Film & Video,successful,317,US,75203,75000,29
Indie Rock,Music,failed,11,US,502.6,800,44
Product Design,Design,failed,12,US,2131,15000,29
Art Books,Publishing,canceled,1,US,10,10000,30
Music,Music,failed,5,US,162,2500,59
Music,Music,successful,133,GB,12655.62,7909.77,30
Rock,Music,failed,1,US,5,2000,29
Fashion,Fashion,failed,2,US,264,20000,53
Product Design,Design,failed,6,DE,114.93,17027.25,32
Webseries,Film & Video,successful,89,US,2825.43,2800,35
Hip-Hop,Music,failed,1,US,20,2000,29
Tabletop Games,Games,canceled,92,NL,5422.6,28049.86,26
Music,Music,undefined,0,undefined,436,1500,29
Journalism,Journalism,failed,7,US,380,6500,28
Film & Video,Film & Video,failed,12,GB,977.89,153997.78,59
Jazz,Music,failed,10,US,700,40000,29
Apparel,Fashion,failed,15,US,582,1000,29
Indie Rock,Music,successful,62,GB,1867.36,1671.77,29
Drama,Film & Video,successful,46,GB,6257.19,4370.57,11
Theater,Theater,successful,12,US,725,500,29
Documentary,Film & Video,successful,280,US,50698,50000,29
Theater,Theater,successful,16,AU,1501.72,1200.1,57
Performance Art,Art,successful,12,US,2000,2000,21
Film & Video,Film & Video,undefined,0,undefined,0,8000,29
Graphic Design,Design,failed,1,US,20,550,29
Faith,Music,failed,27,US,1961,5000,29
Fiction,Publishing,canceled,0,US,0,2500,29
Mobile Games,Games,failed,5,US,81,4500,29
Crafts,Crafts,failed,0,GB,0,3095.02,29
Crafts,Crafts,live,17,GB,1767.71,1363.98,59
Crafts,Crafts,failed,3,US,135,5000,30
Drama,Film & Video,failed,1,GB,1.54,2312.03,1
Apps,Technology,canceled,1,US,34,400000,59
Theater,Theater,successful,27,US,2020,1650,45
Photography,Photography,failed,53,US,3084.65,5000,30
Fashion,Fashion,canceled,0,US,0,2500,45
Product Design,Design,failed,44,DE,1878.35,84105.23,34
Shorts,Film & Video,failed,5,SE,130.16,2958.16,29
Nonfiction,Publishing,failed,1,US,30,20000,29
Photobooks,Photography,canceled,0,CA,0,3528.33,59
Indie Rock,Music,successful,310,US,10168.82,6791,27
Pop,Music,failed,1,US,1,6500,17
Film & Video,Film & Video,failed,1,US,25,10000,57
Music,Music,failed,29,US,2003,15000,59
Comic Books,Comics,successful,54,US,5335,5000,29
Television,Film & Video,failed,1,AU,0.76,19037.47,29
Indie Rock,Music,successful,56,US,4510.86,4000,29
Apparel,Fashion,successful,8,US,460,300,59
Painting,Art,canceled,0,US,0,10000,29
Literary Journals,Publishing,successful,643,US,55059,50000,33
Pop,Music,canceled,25,US,1770,6000,29
Pop,Music,failed,0,US,0,1000,29
Film & Video,Film & Video,failed,9,US,292,850,24
Documentary,Film & Video,failed,8,US,195,57000,68
Fiction,Publishing,failed,2,US,110,2500,29
Tabletop Games,Games,failed,21,US,4191,10000,44
Comic Books,Comics,successful,667,GB,17593.71,4366.92,29
Art,Art,failed,10,AU,1646.27,10926.57,29
Food,Food,failed,34,US,1270,30000,29
Hardware,Technology,successful,547,US,104482,27000,34
Narrative Film,Film & Video,failed,2,US,10,33000,29
Product Design,Design,failed,41,US,1528,9500,48
Pop,Music,failed,2,US,35,3000,60
Punk,Music,failed,0,US,0,3000,29
Shorts,Film & Video,successful,27,GB,921.12,874.48,59
Music,Music,failed,22,US,753,2800,44
Narrative Film,Film & Video,successful,47,US,4131,3000,29
Documentary,Film & Video,failed,11,US,1025,18000,29
Fiction,Publishing,failed,0,AU,0,2067.31,29
Web,Journalism,failed,3,US,1020,5500,25
Fantasy,Film & Video,canceled,143,GB,13379.97,62743.13,29
Blues,Music,failed,20,US,142,500,29
Accessories,Fashion,failed,4,US,122,5000,44
Hip-Hop,Music,failed,0,US,0,2000,27
Music Videos,Film & Video,successful,11,US,515,500,29
Food,Food,failed,20,US,1135,15000,29
Comics,Comics,successful,31,US,521,100,29
Conceptual Art,Art,successful,23,US,250,100,29
Video Games,Games,failed,5,GB,128.09,2815.08,29
Theater,Theater,successful,112,GB,3103.46,2223.56,14
Photography,Photography,failed,2,US,70,1513,29
Apparel,Fashion,failed,3,US,3,5000,59
Food,Food,successful,38,US,10400,10000,29
Tabletop Games,Games,canceled,37,US,3875,7500,31
Shorts,Film & Video,failed,9,US,960,3500,27
Food,Food,canceled,3,US,76,50000,29
Shorts,Film & Video,successful,92,GB,4483.4,4122.28,29
Photography,Photography,successful,30,US,3680,3500,29
Accessories,Fashion,failed,3,US,241,5000,39
Documentary,Film & Video,failed,0,CA,0,2960.75,29
Comics,Comics,failed,17,US,899,3000,37
Children's Books,Publishing,successful,1620,US,52026.59,25000,29
Art,Art,failed,0,GB,0,9721.83,14
Web,Technology,successful,1670,GB,57557.58,20235.06,30
Art,Art,canceled,0,FR,0,31578.03,37
Hip-Hop,Music,failed,0,CA,0,3767.61,28
Food Trucks,Food,successful,57,US,6184,6000,18
Tabletop Games,Games,successful,35,US,2575,2500,23
Shorts,Film & Video,successful,18,US,1616.03,1500,20
Webseries,Film & Video,successful,95,US,15281,14982,29
Film & Video,Film & Video,canceled,46,AU,19655.61,807174.89,29
Fashion,Fashion,successful,51,US,5015,5000,29
Product Design,Design,successful,139,US,9904,7500,29
Product Design,Design,successful,773,GB,39669.66,15167.14,34
Design,Design,successful,162,US,6808,3500,35
Product Design,Design,canceled,49,US,5185,11800,30
Theater,Theater,canceled,4,GB,182.54,16594.76,20
Children's Books,Publishing,failed,10,US,326,3000,39
Gadgets,Technology,canceled,30,CA,1158.27,20683.38,29
Documentary,Film & Video,successful,92,US,11100,10000,23
Hip-Hop,Music,failed,0,US,0,6000,29
Music,Music,failed,1,US,5,1500,20
Product Design,Design,successful,153,CA,24302.97,20683.38,59
Animation,Film & Video,failed,146,US,47706,60000,38
Tabletop Games,Games,canceled,172,US,12560,50000,35
Wearables,Technology,failed,8,US,1102,50000,59
Jewelry,Fashion,failed,2,US,10,10000,19
Music,Music,undefined,0,undefined,2540,2500,29
Sculpture,Art,canceled,102,US,4340,3000,23
Music,Music,successful,242,US,17777.1,16000,29
Sculpture,Art,failed,14,US,755,7500,59
Tabletop Games,Games,successful,1667,US,136361.6,40000,31
Art,Art,successful,4,GB,111.43,85.72,19
Graphic Design,Design,successful,503,GB,18457.31,7758.43,34
Tabletop Games,Games,failed,76,US,2465,4250,32
Product Design,Design,failed,7,CA,254.75,16407.6,35
Horror,Film & Video,successful,127,US,40976,40000,29
Rock,Music,successful,88,DE,5740.19,3408.59,25
Product Design,Design,failed,1,US,1,30000,29
Theater,Theater,failed,3,US,95,30000,59
Design,Design,failed,14,US,1256,9750,83
Theater,Theater,failed,10,US,117,10000,29
Product Design,Design,failed,14,US,2852,30000,31
Musical,Theater,successful,38,US,1460,1000,14
Theater,Theater,successful,106,US,5935.13,5000,39
Performances,Dance,successful,31,US,7581,7500,29
Tabletop Games,Games,successful,2213,US,268801.94,30000,26
Rock,Music,failed,4,US,80,10000,44
Playing Cards,Games,canceled,31,US,2651,25000,20
Tabletop Games,Games,canceled,31,AU,2536.11,13888.89,29
Apps,Technology,failed,0,US,0,30000,28
Apparel,Fashion,live,1,GB,6.82,2045.97,29
Robots,Technology,failed,30,DE,5439.97,10939,44
Product Design,Design,canceled,48,US,18458,25000,38
Comics,Comics,successful,222,US,8454,1500,29
Accessories,Fashion,successful,169,US,27190,25000,29
DIY Electronics,Technology,failed,1,US,100,1000,14
Woodworking,Crafts,failed,1,US,1,50000,14
Small Batch,Food,failed,1,US,1,10000,29
Tabletop Games,Games,canceled,0,FR,0,580.25,49
Public Art,Art,failed,2,US,65,350,13
Film & Video,Film & Video,failed,238,US,49553,150000,25
Theater,Theater,failed,0,US,0,1000,31
Hip-Hop,Music,failed,0,US,0,1500,69
Fiction,Publishing,failed,2,US,150,1600,36
Food,Food,successful,58,US,3887,3000,20
Music,Music,failed,0,US,0,5800,9
Restaurants,Food,canceled,1,US,20,10000,29
Academic,Publishing,failed,0,US,0,2000,25
Places,Photography,canceled,0,US,0,15000,29
Technology,Technology,failed,6,US,91,15000,29
Photobooks,Photography,successful,185,US,33191,28000,29
Faith,Music,failed,1,US,25,10000,59
Tabletop Games,Games,successful,131,US,10365,9999,23
Fashion,Fashion,failed,1,US,25,3950,34
Art,Art,successful,25,US,3001,3000,20
Video Games,Games,failed,8,GB,53.68,1491.2,29
Nonfiction,Publishing,failed,0,US,0,85000,29
Music,Music,undefined,0,undefined,1,5000,30
Film & Video,Film & Video,failed,0,US,0,100000,29
Product Design,Design,successful,13,US,576,500,29
Periodicals,Publishing,failed,2,US,40,300,29
Fashion,Fashion,successful,28,US,3105,2500,29
Publishing,Publishing,successful,40,US,2346,2000,29
Painting,Art,failed,0,US,0,300,29
Film & Video,Film & Video,canceled,3,US,2800,10000,29
Film & Video,Film & Video,successful,28,US,688,600,30
Comics,Comics,canceled,81,GB,2016.23,5008.37,27
Tabletop Games,Games,successful,242,US,8076,6500,31
Video Games,Games,failed,25,SE,360.48,42253.18,35
Shorts,Film & Video,canceled,0,US,0,5000,29
Crafts,Crafts,failed,0,GB,0,3213.26,59
Film & Video,Film & Video,failed,2,US,33,75000,39
Publishing,Publishing,successful,48,US,435,31,29
Drinks,Food,failed,5,US,70,60000,29
Video Games,Games,failed,6,US,180,60000,49
Product Design,Design,failed,1,US,15,250,18
Product Design,Design,failed,10,GB,971.3,18211.9,29
Tabletop Games,Games,successful,418,IT,28296.66,10281.97,28
Product Design,Design,failed,11,US,815,25000,29
Hip-Hop,Music,failed,12,US,382,5000,59
Sound,Technology,failed,2,AU,98.15,1226.89,24
Comics,Comics,failed,4,US,70,2000,29
Rock,Music,failed,0,GB,0,19200.93,29
Technology,Technology,failed,32,US,1316,15000,59
Tabletop Games,Games,canceled,4,US,120,20000,40
Games,Games,canceled,0,GB,0,7841.17,49
Periodicals,Publishing,successful,58,US,2856,2000,29
Documentary,Film & Video,failed,0,GB,0,46750.88,49
Indie Rock,Music,successful,236,US,6533,3000,29
Webseries,Film & Video,failed,0,AU,0,3245.96,29
Fiction,Publishing,successful,12,US,600,500,14
Film & Video,Film & Video,failed,0,US,0,2800,9
Documentary,Film & Video,successful,303,US,26100,15000,39
Young Adult,Publishing,failed,54,US,4943,8000,40
Fashion,Fashion,failed,0,US,0,20000,32
Art Books,Publishing,failed,35,US,1117,10000,29
Rock,Music,failed,0,US,0,1000,29
Music,Music,failed,2,US,101,1500,26
Video Games,Games,failed,48,US,797,10000,29
Documentary,Film & Video,successful,25,US,725,700,26
Art,Art,failed,41,US,2169,8299,46
Fashion,Fashion,failed,0,GB,0,342.87,29
Food Trucks,Food,successful,110,US,12662,12000,59
Painting,Art,failed,0,US,0,5795,29
Comics,Comics,successful,143,CA,4833.02,4094.39,29
Childrenswear,Fashion,failed,12,US,510,10000,29
Theater,Theater,failed,18,US,1152,5000,27
Playing Cards,Games,successful,513,GB,15967.64,15119.44,31
Digital Art,Art,successful,151,GB,6407.66,851.63,59
Country & Folk,Music,failed,54,US,1970,4000,30
Cookbooks,Food,successful,407,AU,34678.74,34543.64,29
Graphic Design,Design,failed,3,US,31,2850,26
Public Art,Art,successful,38,US,2203,2000,59
Animation,Film & Video,successful,23,US,1496,1000,29
Comic Books,Comics,successful,161,AT,6011.03,4428.01,34
Theater,Theater,successful,11,US,1057,1000,29
Drinks,Food,successful,231,US,18056,15000,29
Periodicals,Publishing,failed,32,GB,981.29,5611.94,29
Photography,Photography,failed,2,US,20,2135,29
Apparel,Fashion,failed,3,US,73,1500,29
Narrative Film,Film & Video,failed,2,US,22,85000,59
Product Design,Design,canceled,0,US,0,40000,29
Hip-Hop,Music,canceled,1,US,1,3500,59
Hip-Hop,Music,failed,10,US,161,1800,29
Fiction,Publishing,failed,21,US,388.2,900,32
Food,Food,suspended,0,GB,0,234602.27,29
Children's Books,Publishing,failed,33,US,2297,20000,29
Hip-Hop,Music,failed,0,AU,0,892.93,29
Hip-Hop,Music,failed,0,US,0,5000,29
Live Games,Games,failed,39,US,4197,15000,29
Children's Books,Publishing,successful,38,US,3070,3000,20
Comedy,Film & Video,successful,58,US,5135.01,5000,29
Tabletop Games,Games,canceled,16,US,573,15000,29
Woodworking,Crafts,successful,36,US,3548,3500,30
Rock,Music,successful,105,US,7875.97,7500,39
Product Design,Design,successful,257,US,17824,15000,44
Indie Rock,Music,failed,16,US,1415,2500,29
Playing Cards,Games,successful,25,US,510,150,29
Art,Art,successful,52,US,5560,5000,29
Theater,Theater,successful,103,US,5145,5000,30
Technology,Technology,failed,11,US,492,30000,59
Festivals,Theater,successful,1,US,19,10,29
Apparel,Fashion,failed,22,US,1990,18000,29
Accessories,Fashion,failed,12,FR,901.25,3162.29,29
Product Design,Design,canceled,1,US,1,31500,59
Food,Food,successful,172,US,8845,7000,44
Technology,Technology,canceled,38,CA,1443.24,17861.93,34
DIY Electronics,Technology,successful,42,GB,6488.74,6437.24,29
Tabletop Games,Games,successful,266,US,9469,4200,29
Conceptual Art,Art,successful,14,US,2000,2000,9
Performances,Dance,successful,129,GB,12242.05,11223.88,37
Music,Music,canceled,0,US,0,10000,59
Fiction,Publishing,failed,4,SE,198.93,714.71,29
Graphic Design,Design,canceled,0,US,0,5000,29
Children's Books,Publishing,successful,66,US,12851,7000,29
Nonfiction,Publishing,failed,0,GB,0,35717.86,53
Thrillers,Film & Video,failed,20,US,1110,10000,29
Tabletop Games,Games,successful,80,US,4107,3000,29
Fashion,Fashion,failed,0,FR,0,22385.89,33
Music,Music,successful,104,US,10111,7500,29
Hardware,Technology,successful,141,CA,40625.18,27058.72,29
Tabletop Games,Games,failed,0,DE,0,43445.2,29
Events,Food,failed,1,SG,14.34,35857.72,29
Video Games,Games,canceled,0,US,0,500,59
Fashion,Fashion,failed,4,US,80,500,15
Gaming Hardware,Games,successful,63416,US,8596474.58,950000,29
Crafts,Crafts,successful,28,US,1084.79,500,29
Shorts,Film & Video,successful,36,US,1548,1500,38
Animation,Film & Video,successful,1869,US,162882.47,150000,29
Pop,Music,failed,23,US,1436,6000,44
Food Trucks,Food,failed,0,US,0,9800,22
Rock,Music,successful,56,US,5019,5000,36
Design,Design,successful,1349,US,48296,1500,36
Accessories,Fashion,canceled,6,NZ,125.16,594.11,29
Documentary,Film & Video,failed,31,US,2599.5,14850,51
Apparel,Fashion,failed,15,US,262,4840,29
Documentary,Film & Video,failed,9,US,955,235000,34
Hip-Hop,Music,canceled,1,US,30,50000,59
Shorts,Film & Video,failed,6,US,400,4000,24
Fiction,Publishing,successful,155,US,8220.37,6500,29
Children's Books,Publishing,successful,23,US,1452,1000,33
Comic Books,Comics,successful,38,US,1690,1000,30
Nonfiction,Publishing,successful,62,US,1308,200,29
Documentary,Film & Video,canceled,49,GB,3156.72,15331.31,29
Hip-Hop,Music,failed,1,US,1,1000,23
Art Books,Publishing,successful,15,US,305,300,25
Tabletop Games,Games,canceled,32,US,1673,25000,29
Tabletop Games,Games,successful,5051,US,279915,40000,44
Documentary,Film & Video,failed,9,US,536,130000,14
Music,Music,failed,0,US,0,560000,29
Photobooks,Photography,successful,6,CA,793.07,784.44,14
Graphic Design,Design,failed,4,US,124,1370,29
Product Design,Design,failed,0,US,0,3000,44
Theater,Theater,successful,16,US,690,650,16
Performance Art,Art,failed,3,US,40,500,29
Graphic Novels,Comics,successful,88,US,7195,5000,29
World Music,Music,successful,158,US,7587,7000,28
Electronic Music,Music,failed,2,IT,27.84,5568.98,59
Art,Art,failed,5,AU,62.69,548.55,13
Small Batch,Food,failed,15,US,260,600,29
Games,Games,failed,1,CA,23.27,32573.29,29
Music,Music,undefined,0,undefined,0,5000,29
Public Art,Art,successful,53,US,1520,1500,24
Documentary,Film & Video,successful,15,US,640,500,37
Art,Art,successful,29,ES,499.68,212.18,19
Rock,Music,failed,1,US,4,300,29
Print,Journalism,failed,0,US,0,2500,29
Camera Equipment,Technology,successful,83,CA,24846.98,23302.78,34
Tabletop Games,Games,failed,62,US,1270,8500,34
Photography,Photography,failed,12,US,416,2500,29
Spaces,Dance,successful,60,US,5782,4500,29
Shorts,Film & Video,failed,115,US,6497,35000,29
Fashion,Fashion,failed,20,US,2363,16000,29
Fashion,Fashion,successful,59,GB,2976.54,1611.55,29
Mixed Media,Art,canceled,0,US,0,3412,29
Photography,Photography,successful,15,US,667,150,9
Hip-Hop,Music,failed,0,US,0,15000,19
Product Design,Design,successful,54,US,972,500,29
Playing Cards,Games,failed,8,US,416,2500,33
Festivals,Theater,successful,51,GB,2525.53,2019.08,33
3D Printing,Technology,failed,3,US,870,6000,29
Painting,Art,failed,1,US,90,8500,24
Crafts,Crafts,canceled,6,US,107,500,29
Food,Food,failed,7,US,800,13000,14
Restaurants,Food,canceled,0,US,0,8000,19
Product Design,Design,suspended,1806,US,132536,4000,59
Indie Rock,Music,successful,30,US,790,515,22
Illustration,Art,successful,939,US,39073,18000,32
Apps,Technology,canceled,2,US,40,40000,29
Software,Technology,failed,0,US,0,1999,19
Narrative Film,Film & Video,failed,3,US,100,10000,29
3D Printing,Technology,failed,27,US,2450,3500,29
Spaces,Dance,failed,5,US,400,2700,13
Fiction,Publishing,failed,4,US,275,3800,24
Nonfiction,Publishing,failed,76,SE,3551.85,9892.12,29
Art,Art,failed,0,US,0,1000,29
Hardware,Technology,canceled,10,US,1637,2000,59
Tabletop Games,Games,canceled,398,US,21220,42000,29
Comics,Comics,successful,193,US,7264,4000,29
Gadgets,Technology,failed,44,AU,10826.32,42081.1,41
Apparel,Fashion,failed,7,US,1310,10000,29
Film & Video,Film & Video,successful,140,US,15206,8000,29
Fiction,Publishing,failed,5,US,138,1200,14
Digital Art,Art,successful,10,US,576,400,29
Playing Cards,Games,canceled,66,CA,1058.18,4486.99,29
Plays,Theater,successful,31,US,4216,4000,14
Music Videos,Film & Video,failed,1,US,108,1300,29
Tabletop Games,Games,successful,253,US,20998,15000,27
Mobile Games,Games,failed,0,US,0,1400,29
Ready-to-wear,Fashion,successful,18,GB,747.32,679.38,59
Product Design,Design,failed,20,US,383,150000,29
Fashion,Fashion,failed,1,IT,111.58,78105.82,29
Music,Music,successful,65,US,6547,6500,31
Pop,Music,successful,6,US,340,100,34
Apparel,Fashion,failed,1,US,55,750,19
Music,Music,failed,2,US,152,400,57
Children's Books,Publishing,failed,0,US,0,20000,59
Tabletop Games,Games,canceled,66,US,4516,14000,29
Webseries,Film & Video,failed,1,US,10,5250,29
Apparel,Fashion,failed,8,US,192,1800,20
Nonfiction,Publishing,failed,1,US,5,10000,29
Food,Food,failed,2,US,101,28000,29
Apparel,Fashion,failed,0,US,0,5000,29
Playing Cards,Games,failed,9,CA,479.03,7369.74,29
Graphic Novels,Comics,failed,4,GB,122.51,4835.82,9
Nonfiction,Publishing,failed,1,US,7.5,12000,24
Tabletop Games,Games,failed,73,US,4778,23000,30
Fiction,Publishing,failed,0,US,0,5000,29
Music,Music,successful,132,US,14472.18,12000,29
Technology,Technology,canceled,0,CA,0,11779.49,29
Webseries,Film & Video,failed,1,ES,5.63,2591.64,59
Product Design,Design,canceled,73,US,79875,100000,31
Product Design,Design,successful,25,US,6235,3500,29
Apps,Technology,failed,0,GB,0,27779.06,31
Fiction,Publishing,live,0,US,0,75000,29
Nonfiction,Publishing,failed,0,US,0,7500,27
Music,Music,failed,1,US,10,3000,29
Product Design,Design,suspended,2,US,840,7000,59
Illustration,Art,failed,1,US,1,500,27
Radio & Podcasts,Publishing,failed,12,CA,1364.75,8776.55,29
Punk,Music,successful,29,US,546,500,29
Shorts,Film & Video,successful,28,US,595,500,11
Hardware,Technology,successful,21,US,962,700,19
Design,Design,successful,73,US,5056,2000,28
Food,Food,canceled,0,US,0,20000,27
Music,Music,failed,2,US,550,4000,29
Tabletop Games,Games,successful,62,US,2014,2000,34
Theater,Theater,successful,63,US,5316,5000,29
Film & Video,Film & Video,successful,213,US,13675,12500,29
Publishing,Publishing,failed,38,US,1155,3000,22
Music,Music,successful,14,US,780,750,29
Food,Food,failed,3,US,250,15500,42
Graphic Design,Design,failed,7,GB,100.49,1499.79,27
Small Batch,Food,successful,153,US,17308,15000,22
Festivals,Theater,successful,25,US,1726,1500,21
Web,Technology,failed,3,AU,17.93,560.37,29
Webseries,Film & Video,successful,80,US,8530,8000,30
Indie Rock,Music,successful,365,US,18860.17,15000,45
Tabletop Games,Games,canceled,127,US,9882,40000,29
Fiction,Publishing,failed,1,US,26,3000,59
